"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"502",1968,"07","75 and more",6,9,4692
"503",1968,"07","<15",1,1,48
"504",1968,"07","<15",1,2,4
"505",1968,"07","<15",1,5,16
"506",1968,"07","<15",1,6,124
"507",1968,"07","<15",2,6,4
"508",1968,"07","<15",3,9,3180
"509",1968,"07","<15",6,9,59792
"510",1968,"07",NA,1,1,120
"511",1968,"07",NA,1,2,40
"512",1968,"07",NA,1,4,20
"513",1968,"07",NA,1,5,8
"514",1968,"07",NA,1,6,4
"515",1968,"07",NA,5,8,1084
"516",1968,"07",NA,6,9,556
"517",1968,"08","15-29",1,1,2100
"518",1968,"08","15-29",1,2,1392
"519",1968,"08","15-29",1,3,580
"520",1968,"08","15-29",1,4,4012
"521",1968,"08","15-29",1,5,9492
"522",1968,"08","15-29",1,6,19536
"523",1968,"08","15-29",2,4,48
"524",1968,"08","15-29",2,5,360
"525",1968,"08","15-29",2,6,520
"526",1968,"08","15-29",2,9,188
"527",1968,"08","15-29",3,9,12628
"528",1968,"08","15-29",4,9,1572
"529",1968,"08","15-29",6,9,12064
"530",1968,"08","30-44",1,1,4304
"531",1968,"08","30-44",1,2,3780
"532",1968,"08","30-44",1,3,1712
"533",1968,"08","30-44",1,4,5028
"534",1968,"08","30-44",1,5,6316
"535",1968,"08","30-44",1,6,17664
"536",1968,"08","30-44",2,3,12
"537",1968,"08","30-44",2,4,16
"538",1968,"08","30-44",2,5,112
"539",1968,"08","30-44",2,6,340
"540",1968,"08","30-44",2,9,16
"541",1968,"08","30-44",3,9,28
"542",1968,"08","30-44",6,9,19740
"543",1968,"08","45-59",1,1,3656
"544",1968,"08","45-59",1,2,2936
"545",1968,"08","45-59",1,3,1148
"546",1968,"08","45-59",1,4,3200
"547",1968,"08","45-59",1,5,4516
"548",1968,"08","45-59",1,6,10340
"549",1968,"08","45-59",2,3,12
"550",1968,"08","45-59",2,4,28
"551",1968,"08","45-59",2,5,68
"552",1968,"08","45-59",2,6,160
"553",1968,"08","45-59",2,9,8
"554",1968,"08","45-59",5,8,2720
"555",1968,"08","45-59",6,9,13284
"556",1968,"08","60-74",1,1,2060
"557",1968,"08","60-74",1,2,1532
"558",1968,"08","60-74",1,3,376
"559",1968,"08","60-74",1,4,468
"560",1968,"08","60-74",1,5,1276
"561",1968,"08","60-74",1,6,2500
"562",1968,"08","60-74",2,4,12
"563",1968,"08","60-74",2,5,44
"564",1968,"08","60-74",2,6,40
"565",1968,"08","60-74",5,8,16396
"566",1968,"08","60-74",6,9,12880
"567",1968,"08","75 and more",1,1,104
"568",1968,"08","75 and more",1,2,112
"569",1968,"08","75 and more",1,3,24
"570",1968,"08","75 and more",1,4,24
"571",1968,"08","75 and more",1,5,56
"572",1968,"08","75 and more",1,6,28
"573",1968,"08","75 and more",5,8,5808
"574",1968,"08","75 and more",6,9,4740
"575",1968,"08","<15",1,1,20
"576",1968,"08","<15",1,2,4
"577",1968,"08","<15",1,4,4
"578",1968,"08","<15",1,5,40
"579",1968,"08","<15",1,6,144
"580",1968,"08","<15",2,6,4
"581",1968,"08","<15",2,9,4
"582",1968,"08","<15",3,9,4724
"583",1968,"08","<15",6,9,87764
"584",1968,"08",NA,1,1,32
"585",1968,"08",NA,1,2,36
"586",1968,"08",NA,1,4,4
"587",1968,"08",NA,1,6,8
"588",1968,"08",NA,5,8,836
"589",1968,"08",NA,6,9,568
"590",1968,"09","15-29",1,1,1420
"591",1968,"09","15-29",1,2,688
"592",1968,"09","15-29",1,3,236
"593",1968,"09","15-29",1,4,1236
"594",1968,"09","15-29",1,5,2760
"595",1968,"09","15-29",1,6,5072
"596",1968,"09","15-29",2,3,4
"597",1968,"09","15-29",2,4,36
"598",1968,"09","15-29",2,5,132
"599",1968,"09","15-29",2,6,168
"600",1968,"09","15-29",2,9,108
"601",1968,"09","15-29",3,9,7272
"602",1968,"09","15-29",4,9,676
"603",1968,"09","15-29",6,9,3952
"604",1968,"09","30-44",1,1,3236
"605",1968,"09","30-44",1,2,1948
"606",1968,"09","30-44",1,3,540
"607",1968,"09","30-44",1,4,1708
"608",1968,"09","30-44",1,5,2576
"609",1968,"09","30-44",1,6,6076
"610",1968,"09","30-44",2,3,4
"611",1968,"09","30-44",2,4,12
"612",1968,"09","30-44",2,5,32
"613",1968,"09","30-44",2,6,76
"614",1968,"09","30-44",2,9,4
"615",1968,"09","30-44",3,9,28
"616",1968,"09","30-44",6,9,8696
"617",1968,"09","45-59",1,1,4408
"618",1968,"09","45-59",1,2,2100
"619",1968,"09","45-59",1,3,624
"620",1968,"09","45-59",1,4,1392
"621",1968,"09","45-59",1,5,1808
"622",1968,"09","45-59",1,6,4696
"623",1968,"09","45-59",2,4,8
"624",1968,"09","45-59",2,5,20
"625",1968,"09","45-59",2,6,80
"626",1968,"09","45-59",2,9,4
"627",1968,"09","45-59",5,8,1940
"628",1968,"09","45-59",6,9,7592
"629",1968,"09","60-74",1,1,3832
"630",1968,"09","60-74",1,2,988
"631",1968,"09","60-74",1,3,104
"632",1968,"09","60-74",1,4,264
"633",1968,"09","60-74",1,5,408
"634",1968,"09","60-74",1,6,964
"635",1968,"09","60-74",2,4,4
"636",1968,"09","60-74",2,5,4
"637",1968,"09","60-74",2,6,24
"638",1968,"09","60-74",5,8,11756
"639",1968,"09","60-74",6,9,7464
"640",1968,"09","75 and more",1,1,400
"641",1968,"09","75 and more",1,2,64
"642",1968,"09","75 and more",1,3,12
"643",1968,"09","75 and more",1,4,12
"644",1968,"09","75 and more",1,5,8
"645",1968,"09","75 and more",1,6,4
"646",1968,"09","75 and more",5,8,5976
"647",1968,"09","75 and more",6,9,3120
"648",1968,"09","<15",1,1,12
"649",1968,"09","<15",1,5,8
"650",1968,"09","<15",1,6,44
"651",1968,"09","<15",3,9,1488
"652",1968,"09","<15",6,9,27392
"653",1968,"09",NA,1,1,84
"654",1968,"09",NA,1,2,40
"655",1968,"09",NA,1,3,4
"656",1968,"09",NA,1,5,8
"657",1968,"09",NA,1,6,4
"658",1968,"09",NA,5,8,752
"659",1968,"09",NA,6,9,360
"660",1968,"10","15-29",1,1,2312
"661",1968,"10","15-29",1,2,1260
"662",1968,"10","15-29",1,3,568
"663",1968,"10","15-29",1,4,4208
"664",1968,"10","15-29",1,5,9488
"665",1968,"10","15-29",1,6,22976
"666",1968,"10","15-29",2,3,4
"667",1968,"10","15-29",2,4,20
"668",1968,"10","15-29",2,5,144
"669",1968,"10","15-29",2,6,316
"670",1968,"10","15-29",2,9,56
"671",1968,"10","15-29",3,9,9036
"672",1968,"10","15-29",4,9,1424
"673",1968,"10","15-29",6,9,6896
"674",1968,"10","30-44",1,1,4420
"675",1968,"10","30-44",1,2,3576
"676",1968,"10","30-44",1,3,1668
"677",1968,"10","30-44",1,4,4668
"678",1968,"10","30-44",1,5,6796
"679",1968,"10","30-44",1,6,16700
"680",1968,"10","30-44",2,3,4
